Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
76,6928.61,4021.50,22.25,2,47,0.24,LOS,92.47,1.06,-73.32,0.70,55.36,0,54,-77.58,41,-91.23,34,-106.44,42,-106.98,40,-107.18
77,6913.23,4021.50,22.25,2,47,0.24,LOS,92.70,-2.18,-70.30,6.78,55.36,0,54,-79.00,48,-91.46,41,-94.53,40,-94.71,42,-96.00
78,6897.85,4021.50,22.25,2,47,0.23,LOS,92.93,-2.18,-70.53,6.60,55.36,0,54,-79.13,48,-91.68,41,-93.93,40,-94.57,42,-95.90
79,6882.47,4021.50,22.25,2,47,0.22,LOS,93.16,4.54,-77.48,0.20,55.36,0,54,-84.47,41,-85.63,34,-96.11,40,-97.37,42,-98.79
80,6867.09,4021.50,22.25,2,47,0.22,LOS,93.39,4.54,-77.71,-0.18,55.36,0,54,-84.60,41,-84.99,34,-95.90,40,-97.24,42,-98.71
81,6851.72,4021.50,22.25,2,47,0.21,LOS,93.61,2.57,-75.97,-3.84,55.36,0,54,-83.25,41,-85.77,40,-93.85,48,-95.00,34,-101.76
82,6836.34,4021.50,22.25,2,47,0.20,LOS,93.83,2.57,-76.19,-4.18,55.36,0,54,-83.38,41,-85.09,40,-93.72,48,-95.23,34,-101.54
83,6820.96,4021.50,22.25,2,47,0.20,LOS,94.05,0.72,-74.56,4.61,55.36,0,41,-83.21,54,-86.88,34,-92.89,42,-95.58,48,-96.37
84,6805.58,4021.50,22.25,2,47,0.19,LOS,94.27,0.72,-74.78,4.06,55.36,0,41,-82.48,35,-83.70,34,-92.66,42,-95.50,48,-96.60
85,6790.20,4021.50,22.25,2,47,0.18,LOS,94.49,-6.30,-67.97,8.40,55.36,0,35,-77.46,41,-85.12,48,-95.21,34,-101.23,40,-101.41
86,6774.83,4021.50,22.25,2,47,0.18,LOS,94.70,-6.30,-68.18,7.99,55.36,0,35,-77.35,41,-84.32,48,-95.45,34,-101.00,40,-101.30
87,6759.45,4021.50,22.25,2,47,0.17,LOS,94.91,0.83,-75.53,3.04,55.36,0,41,-82.34,35,-89.64,34,-95.58,48,-100.25,40,-102.72
88,6744.07,4021.50,22.25,2,47,0.16,LOS,95.12,0.83,-75.74,2.48,55.36,0,41,-81.48,35,-89.53,34,-95.34,48,-100.49,40,-102.61
89,6728.69,4021.50,22.25,2,47,0.16,LOS,95.33,-0.45,-74.66,0.50,55.36,0,35,-76.46,41,-85.31,48,-92.52,42,-98.51,40,-103.84
90,6713.31,4021.50,22.25,2,47,0.15,LOS,95.53,-0.45,-74.86,0.14,55.36,0,35,-76.35,41,-84.37,48,-92.76,42,-98.45,40,-103.74
91,6697.94,4021.50,22.25,2,35,0.03,LOS,100.88,-10.51,-70.15,1.90,55.36,1,41,-75.27,47,-75.89,42,-100.73,34,-102.95,48,-107.55
92,6682.56,4021.50,22.25,2,35,0.03,LOS,100.76,-10.51,-70.03,1.59,55.36,0,41,-74.25,47,-76.09,42,-100.68,34,-102.70,48,-107.79
93,6667.18,4021.50,22.25,2,35,0.04,LOS,100.64,-1.46,-78.96,-4.58,55.36,0,47,-76.01,41,-84.25,48,-90.43,42,-99.31,34,-101.61
94,6651.80,4021.50,22.25,2,35,0.04,LOS,100.52,-1.46,-78.84,-4.44,55.36,0,47,-76.21,41,-83.16,48,-90.67,42,-99.27,34,-101.35
95,6636.42,4021.50,22.25,2,35,0.04,LOS,100.40,-4.34,-75.84,-0.97,55.36,0,47,-76.77,41,-82.06,48,-93.67,34,-97.17,42,-97.25
96,6621.05,4021.50,22.25,2,35,0.04,LOS,100.28,-4.34,-75.72,-0.96,55.36,0,47,-76.96,41,-80.91,48,-93.91,34,-96.91,42,-97.22
97,6605.67,4021.50,22.25,2,35,0.04,LOS,100.16,-3.82,-76.12,-0.92,55.36,0,41,-78.18,47,-82.76,42,-95.81,40,-97.93,48,-98.89
98,6590.29,4021.50,22.25,2,35,0.04,LOS,100.04,-3.82,-76.00,-1.36,55.36,0,41,-77.03,47,-82.94,42,-95.78,40,-97.88,48,-99.12
99,6574.91,4021.50,22.25,2,41,0.50,NLOS,90.38,0.45,-70.62,1.68,55.36,1,35,-73.91,47,-79.08,42,-96.46,40,-99.53,48,-101.89
