Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
39,6411.32,5500.00,1.50,2,48,0.04,NLOS,125.32,-6.47,-98.63,-70.85,7.10,34.98,1,36,-102.57,49,-107.02,22,-110.73,43,-111.49,54,-115.08,42,-116.07
40,6401.60,5500.00,1.50,2,48,0.04,NLOS,125.38,-6.47,-98.69,-70.91,7.11,34.98,0,36,-102.46,49,-107.13,22,-110.67,43,-111.39,54,-115.17,42,-115.82
41,6391.88,5500.00,1.50,2,48,0.04,NLOS,125.44,-6.47,-98.75,-70.97,7.11,34.98,0,36,-102.35,49,-107.25,22,-110.62,43,-111.29,54,-115.26,42,-115.57
42,6382.16,5500.00,1.50,2,36,0.01,NLOS,142.87,-26.10,-96.55,-68.77,22.67,34.98,1,49,-97.44,55,-106.63,41,-110.14,54,-113.03,34,-114.00,59,-114.27
43,6372.45,5500.00,1.50,2,36,0.01,NLOS,142.76,-26.10,-96.44,-68.66,22.68,34.98,0,49,-97.58,55,-106.82,41,-110.06,54,-113.12,34,-113.94,59,-114.31
44,6362.73,5500.00,1.50,2,36,0.01,NLOS,142.65,-26.10,-96.33,-68.55,22.68,34.98,0,49,-97.72,55,-107.00,41,-109.98,54,-113.20,34,-113.88,59,-114.34
45,6353.01,5500.00,1.50,2,61,0.01,NLOS,146.02,-21.51,-104.29,-76.51,16.66,34.98,1,57,-107.20,49,-108.72,42,-110.18,43,-110.56,5,-112.19,48,-113.22
46,6343.30,5500.00,1.50,2,61,0.01,NLOS,146.11,-21.51,-104.38,-76.60,16.61,34.98,0,57,-107.25,49,-108.88,42,-109.90,43,-110.46,5,-112.16,48,-113.31
47,6333.58,5500.00,1.50,2,61,0.01,NLOS,146.20,-21.51,-104.47,-76.69,16.57,34.98,0,57,-107.29,49,-109.05,42,-109.63,43,-110.36,5,-112.13,48,-113.40
48,6323.86,5500.00,1.50,2,48,0.03,NLOS,126.05,-16.18,-89.65,-61.86,14.52,34.98,1,49,-105.07,5,-107.74,62,-112.63,42,-113.08,57,-116.25,36,-117.36
49,6314.14,5500.00,1.50,2,48,0.03,NLOS,126.15,-16.18,-89.75,-61.97,14.52,34.98,0,49,-105.25,5,-107.71,62,-112.72,42,-112.79,57,-116.29,36,-117.24
