Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_sinr_interference,ue0_sinr_noise,ue0_sinr_denominator,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp,ue0_interf_bs1_idx,ue0_interf_bs1_prx,ue0_interf_bs2_idx,ue0_interf_bs2_prx,ue0_interf_bs3_idx,ue0_interf_bs3_prx,ue0_interf_bs4_idx,ue0_interf_bs4_prx,ue0_interf_bs5_idx,ue0_interf_bs5_prx,ue0_interf_bs6_idx,ue0_interf_bs6_prx
32,3439.17,2452.00,3.00,2,23,0.45,NLOS,93.41,-2.93,-70.27,-42.48,8.63,-51.11,-95.00,-51.11,34.45,0,31,-78.94,30,-99.71,15,-110.35,24,-111.08,16,-113.09,8,-115.37,15,-82.57,16,-85.31,30,-71.93,31,-51.16,24,-83.30,17,-93.04
33,3429.60,2452.00,3.00,2,23,0.41,NLOS,94.87,-6.90,-67.75,-39.97,14.62,-54.59,-95.00,-54.59,34.45,0,31,-82.42,15,-103.00,24,-113.20,17,-114.25,16,-114.44,30,-118.17,15,-75.22,16,-86.66,30,-90.39,31,-54.64,24,-85.42,17,-86.47
34,3420.02,2452.00,3.00,2,23,0.37,NLOS,96.28,-6.90,-69.16,-41.38,13.30,-54.68,-95.00,-54.68,34.45,0,31,-82.51,15,-102.84,24,-113.22,17,-114.20,16,-114.26,30,-118.32,15,-75.06,16,-86.47,30,-90.54,31,-54.73,24,-85.43,17,-86.42
35,3410.45,2452.00,3.00,2,23,0.34,NLOS,97.64,-6.90,-70.52,-42.73,12.03,-54.77,-95.00,-54.77,34.45,0,31,-82.60,15,-102.68,24,-113.24,16,-114.07,17,-114.15,30,-118.46,15,-74.90,16,-86.29,30,-90.68,31,-54.82,24,-85.45,17,-86.36
36,3400.88,2452.00,3.00,2,31,0.02,LOS,99.34,-2.82,-76.31,-48.53,6.52,-55.04,-95.00,-55.04,34.45,1,23,-82.85,15,-98.42,16,-102.12,24,-107.07,30,-113.59,48,-117.22,32,-90.14,23,-55.06,24,-79.29,38,-94.42,39,-98.09,30,-85.81
37,3391.31,2452.00,3.00,2,31,0.02,LOS,99.43,-2.82,-76.40,-48.62,7.64,-56.26,-95.00,-56.26,34.45,0,23,-84.07,15,-98.26,16,-101.93,24,-107.10,30,-113.73,48,-117.25,32,-90.20,23,-56.29,24,-79.31,38,-94.52,39,-98.17,30,-85.95
38,3381.74,2452.00,3.00,2,31,0.02,LOS,99.52,-2.82,-76.48,-48.70,8.71,-57.41,-95.00,-57.41,34.45,0,23,-85.23,15,-98.09,16,-101.74,24,-107.12,30,-113.87,48,-117.29,32,-90.26,23,-57.45,24,-79.34,38,-94.62,39,-98.25,30,-86.09
39,3372.17,2452.00,3.00,2,31,0.02,LOS,99.61,6.97,-86.36,-58.58,0.75,-59.33,-95.00,-59.32,34.45,0,23,-87.13,15,-108.21,30,-111.03,0,-112.31,16,-117.23,24,-118.75,32,-92.51,23,-59.35,24,-90.97,38,-95.55,39,-91.70,30,-83.25
40,3362.60,2452.00,3.00,2,31,0.02,LOS,99.70,6.97,-86.44,-58.66,1.70,-60.37,-95.00,-60.37,34.45,0,23,-88.18,15,-108.05,30,-111.17,0,-112.23,16,-117.04,24,-118.78,32,-92.57,23,-60.40,24,-91.00,38,-95.65,39,-91.78,30,-83.39
41,3355.00,2450.03,3.00,3,31,0.02,LOS,99.77,6.97,-86.52,-58.74,2.35,-61.09,-95.00,-61.09,34.45,0,23,-88.91,15,-107.89,30,-111.27,0,-112.17,16,-116.92,24,-118.85,32,-92.63,23,-61.13,24,-91.07,38,-95.73,39,-91.85,30,-83.48
