Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
49,5800.00,2589.91,69.00,3,46,0.98,LOS,86.92,1.13,-67.84,-40.06,3.80,36.34,0,53,-76.06,38,-76.60,47,-79.53,39,-80.18,61,-80.93,24,-83.48
50,5800.00,2569.72,69.00,3,46,0.97,LOS,87.63,0.68,-68.09,-40.31,4.50,72.67,0,53,-76.51,39,-78.85,38,-79.61,31,-80.27,61,-82.92,45,-83.37
51,5800.00,2549.53,69.00,3,46,0.97,LOS,88.29,0.68,-68.76,-40.97,3.80,72.67,0,53,-76.46,39,-78.97,38,-79.56,31,-80.29,45,-82.88,61,-82.94
52,5800.00,2529.35,69.00,3,46,0.96,LOS,88.92,0.70,-69.40,-41.62,-0.81,72.67,0,53,-70.77,38,-74.58,47,-78.88,39,-84.05,76,-84.26,61,-84.47
53,5800.00,2509.16,69.00,3,46,0.96,LOS,89.50,0.70,-69.98,-42.20,-1.42,72.67,0,53,-70.72,38,-74.55,47,-79.05,39,-84.17,76,-84.26,61,-84.49
54,5800.00,2488.97,69.00,3,46,0.95,LOS,90.05,3.39,-73.23,-45.45,0.15,72.67,0,53,-76.51,38,-78.67,61,-81.32,30,-81.98,47,-83.12,39,-83.46
55,5800.00,2468.79,69.00,3,46,0.95,LOS,90.58,3.39,-73.75,-45.97,-0.37,72.67,0,53,-76.48,38,-78.65,61,-81.36,30,-81.94,47,-83.28,39,-83.58
56,5800.00,2448.60,69.00,3,46,0.94,LOS,91.07,-1.21,-69.65,-41.87,3.44,72.67,0,38,-77.30,53,-78.13,45,-81.28,75,-82.93,39,-83.82,47,-84.55
57,5800.00,2428.41,69.00,3,46,0.94,LOS,91.55,-1.21,-70.12,-42.34,2.88,72.67,0,38,-77.29,53,-78.11,45,-80.67,75,-82.92,39,-83.94,47,-84.70
58,5800.00,2408.23,69.00,3,46,0.93,LOS,92.00,-3.79,-67.99,-40.21,4.20,72.67,0,39,-75.68,45,-78.65,53,-80.18,38,-81.74,31,-83.37,61,-84.02
59,5800.00,2388.04,69.00,3,46,0.93,LOS,92.43,-3.79,-68.42,-40.64,3.67,72.67,0,39,-75.80,45,-77.99,53,-80.18,38,-81.74,31,-83.40,61,-84.05
60,5800.00,2367.86,69.00,3,46,0.93,LOS,92.84,-1.43,-71.20,-43.42,-2.52,72.67,0,45,-73.20,53,-74.05,38,-76.22,61,-77.94,39,-78.91,47,-79.42
61,5800.00,2347.67,69.00,3,46,0.92,LOS,93.24,-1.43,-71.60,-43.81,-3.16,72.67,0,45,-72.47,53,-74.07,38,-76.23,61,-77.98,39,-79.03,47,-79.57
62,5800.00,2327.48,69.00,3,46,0.92,LOS,93.62,-3.52,-69.88,-42.10,4.65,72.67,0,30,-76.59,53,-77.67,39,-82.46,38,-82.90,47,-83.54,68,-85.19
63,5800.00,2307.30,69.00,3,46,0.91,LOS,93.99,-3.52,-70.25,-42.47,4.27,72.67,0,30,-76.56,53,-77.70,39,-82.58,38,-82.93,47,-83.68,45,-84.72
