Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
103,4266.68,4366.50,1.50,0,0,0.13,NLOS,109.70,-3.33,-86.16,11.85,29.27,0,2,-98.24,3,-112.79,4,-117.40,5,-121.94,6,-124.13
104,4274.81,4366.50,1.50,0,0,0.13,NLOS,109.77,-3.33,-86.22,11.61,29.27,0,2,-98.07,3,-112.68,4,-117.36,5,-121.85,6,-124.07
105,4282.94,4366.50,1.50,0,0,0.12,NLOS,109.86,7.26,-96.91,2.99,29.27,0,2,-101.26,1,-106.58,3,-113.93,5,-121.60,6,-123.64
106,4291.07,4366.50,1.50,0,0,0.12,NLOS,109.99,7.26,-97.03,2.74,29.27,0,2,-101.08,1,-106.58,3,-113.82,5,-121.51,6,-123.57
107,4299.20,4366.50,1.50,0,0,0.12,NLOS,110.13,7.26,-97.17,2.46,29.27,0,2,-100.91,1,-106.59,3,-113.72,5,-121.41,6,-123.51
108,4300.00,4359.17,1.50,3,0,0.11,NLOS,110.72,7.26,-97.76,1.85,29.27,0,2,-100.84,1,-106.70,3,-113.79,5,-121.42,6,-123.55
109,4300.00,4351.04,1.50,3,0,0.11,NLOS,111.33,-12.61,-78.50,21.27,29.27,0,1,-102.02,2,-105.05,3,-109.85,6,-123.36,5,-125.61
110,4300.00,4342.91,1.50,3,0,0.10,NLOS,111.92,-12.61,-79.09,20.75,29.27,0,1,-102.15,2,-105.00,3,-109.95,6,-123.40,5,-125.63
111,4300.00,4334.77,1.50,3,0,0.10,NLOS,112.49,-12.61,-79.66,20.25,29.27,0,1,-102.28,2,-104.95,3,-110.05,6,-123.45,5,-125.64
112,4300.00,4326.64,1.50,3,0,0.09,NLOS,113.04,-12.61,-80.22,19.76,29.27,0,1,-102.40,2,-104.89,3,-110.15,6,-123.50,5,-125.65
113,4300.00,4318.51,1.50,3,2,0.02,NLOS,131.33,-7.31,-103.80,3.85,29.27,1,0,-110.11,5,-115.26,1,-115.46,3,-120.60,4,-122.75
114,4300.00,4310.38,1.50,3,2,0.02,NLOS,131.28,-7.31,-103.75,4.22,29.27,0,0,-110.63,5,-115.28,1,-115.58,3,-120.70,4,-122.83
115,4300.00,4302.25,1.50,3,2,0.03,NLOS,131.23,-7.31,-103.71,4.57,29.27,0,0,-111.14,5,-115.29,1,-115.71,3,-120.80,4,-122.90
116,4300.00,4294.12,1.50,3,2,0.03,NLOS,131.19,-7.31,-103.66,4.90,29.27,0,0,-111.63,5,-115.31,1,-115.83,3,-120.90,4,-122.97
117,4300.00,4285.99,1.50,3,3,0.02,NLOS,136.80,-30.00,-86.59,5.13,29.27,1,0,-92.53,2,-99.68,4,-111.48,1,-123.59,5,-123.94
118,4300.00,4277.86,1.50,3,3,0.02,NLOS,136.90,-30.00,-86.68,5.41,29.27,0,0,-93.00,2,-99.64,4,-111.56,1,-123.71,5,-123.96
119,4300.00,4269.73,1.50,3,3,0.02,NLOS,137.00,-30.00,-86.78,5.67,29.27,0,0,-93.45,2,-99.60,4,-111.63,1,-123.83,5,-123.98
120,4300.00,4261.60,1.50,3,3,0.02,NLOS,137.10,-30.00,-86.88,5.91,29.27,0,0,-93.90,2,-99.56,4,-111.70,1,-123.95,5,-124.00
121,4300.00,4253.47,1.50,3,2,0.03,NLOS,131.00,-3.11,-107.67,3.80,29.27,1,0,-112.43,3,-120.30,1,-127.93,4,-129.94,5,-134.41
122,4300.00,4245.34,1.50,3,2,0.03,NLOS,130.97,-3.11,-107.64,4.18,29.27,0,0,-112.85,3,-120.39,1,-128.05,4,-130.01,5,-134.43
123,4300.00,4237.21,1.50,3,2,0.03,NLOS,130.94,-3.11,-107.61,4.55,29.27,0,0,-113.26,3,-120.49,1,-128.16,4,-130.08,5,-134.45
124,4300.00,4229.08,1.50,3,2,0.03,NLOS,130.91,-3.11,-107.58,4.91,29.27,0,0,-113.67,3,-120.59,1,-128.28,4,-130.15,5,-134.47
125,4300.00,4220.94,1.50,3,0,0.06,NLOS,119.00,-3.33,-95.46,4.21,29.27,1,2,-100.23,3,-111.31,5,-116.08,4,-116.70,1,-120.60
126,4300.00,4212.81,1.50,3,0,0.05,NLOS,119.39,-3.33,-95.84,3.81,29.27,0,2,-100.20,3,-111.40,5,-116.10,4,-116.77,1,-120.72
127,4300.00,4204.68,1.50,3,0,0.05,NLOS,119.76,-3.33,-96.22,3.43,29.27,0,2,-100.18,3,-111.50,5,-116.12,4,-116.84,1,-120.83
128,4300.00,4196.55,1.50,3,0,0.05,NLOS,120.13,-3.33,-96.58,3.05,29.27,0,2,-100.16,3,-111.60,5,-116.15,4,-116.91,1,-120.94
129,4300.00,4188.42,1.50,3,0,0.05,NLOS,120.49,6.37,-106.65,-2.48,29.27,0,2,-105.76,5,-112.17,1,-115.85,3,-118.19,4,-119.14
130,4300.00,4180.29,1.50,3,0,0.05,NLOS,120.85,6.37,-107.00,-2.83,29.27,0,2,-105.74,5,-112.19,1,-115.96,3,-118.29,4,-119.21
131,4300.00,4172.16,1.50,3,0,0.05,NLOS,121.19,6.37,-107.35,-3.17,29.27,0,2,-105.73,5,-112.22,1,-116.07,3,-118.39,4,-119.28
132,4302.47,4166.50,1.50,0,0,0.05,NLOS,121.44,6.37,-107.60,-3.46,29.27,0,2,-105.66,5,-112.21,1,-116.15,3,-118.43,4,-119.32
133,4310.60,4166.50,1.50,0,2,0.03,NLOS,130.52,-13.95,-96.35,5.60,29.27,1,0,-102.37,6,-116.16,1,-118.71,3,-119.67,5,-121.14
134,4318.73,4166.50,1.50,0,2,0.03,NLOS,130.32,-13.95,-96.14,5.85,29.27,0,0,-102.42,6,-116.10,1,-118.71,3,-119.59,5,-121.05
135,4326.86,4166.50,1.50,0,2,0.03,NLOS,130.11,-13.95,-95.94,6.10,29.27,0,0,-102.48,6,-116.05,1,-118.72,3,-119.51,5,-120.96
136,4334.99,4166.50,1.50,0,2,0.03,NLOS,129.91,-13.95,-95.74,6.36,29.27,0,0,-102.55,6,-116.00,1,-118.73,3,-119.43,5,-120.87
137,4343.12,4166.50,1.50,0,2,0.03,NLOS,129.70,1.23,-110.72,-1.00,29.27,0,0,-113.86,3,-114.94,5,-117.03,4,-122.00,1,-124.29
138,4351.26,4166.50,1.50,0,2,0.03,NLOS,129.49,1.23,-110.50,-0.80,29.27,0,0,-113.93,3,-114.86,5,-116.94,4,-121.97,1,-124.29
