Bước,ue0_x,ue0_y,ue0_huong,ue0_BS_ketnoi,ue0_prx_hientai,ue0_SINR,ue0_speed,ue0_handover
42,2600,7133.68,3,106,-95.45,-28.05,31.83,0
43,2600,7107.15,3,106,-70.66,-9.69,31.83,0
44,2600,7080.62,3,106,-73.63,-12.88,31.83,0
45,2600,7054.1,3,106,-78.04,-12.37,31.83,0
46,2600,7027.57,3,106,-46.79,23.55,31.83,0
47,2600,7001.04,3,106,-59.52,7.06,31.83,0
48,2600,6974.51,3,106,-74.31,-9.27,31.83,0
49,2600,6947.98,3,106,-76.08,-14.46,31.83,0
50,2600,6921.46,3,106,-77.69,-17.89,31.83,0
51,2600,6894.93,3,106,-82.73,-15.97,31.83,0
52,2600,6868.4,3,106,-86.73,-17.6,31.83,0
53,2600,6841.87,3,106,-74.38,-9.73,31.83,0
54,2600,6815.34,3,106,-94.54,-25.55,31.83,0
55,2600,6788.82,3,106,-94.58,-20.53,31.83,0
56,2600,6762.29,3,106,-75.4,-4.3,31.83,0
57,2600,6735.76,3,106,-86.44,-14.79,31.83,0
58,2600,6709.23,3,106,-83.04,-22.11,31.83,0
59,2600,6682.7,3,106,-73.2,-5.87,31.83,0
60,2600,6656.17,3,100,-66.95,3.64,31.83,1
61,2600,6629.65,3,100,-75.86,-5.66,31.83,0
62,2600,6603.12,3,100,-67.33,-0.87,31.83,0
63,2623.41,6600,0,100,-83.43,-33.37,31.83,0
64,2649.94,6600,0,100,-80.17,-20.59,31.83,0
65,2676.47,6600,0,100,-74.59,-14.03,31.83,0
66,2702.99,6600,0,100,-76.02,-11.27,31.83,0
67,2729.52,6600,0,100,-77.37,-12.54,31.83,0
68,2756.05,6600,0,100,-72.77,-7.85,31.83,0
69,2782.58,6600,0,100,-91.27,-32.28,31.83,0
70,2800,6609.11,1,100,-82.98,-26.82,31.83,0
71,2800,6635.63,1,100,-102.15,-52.4,31.83,0
72,2800,6662.16,1,100,-95.92,-40.71,31.83,0
73,2800,6688.69,1,100,-81.55,-36.96,31.83,0
74,2800,6715.22,1,100,-69.61,-9.12,31.83,0
75,2800,6741.75,1,100,-52.97,8.87,31.83,0
76,2800,6768.27,1,100,-75.36,-7.94,31.83,0
77,2800,6794.8,1,100,-62.51,1.7,31.83,0
78,2800,6821.33,1,100,-52.72,20.18,31.83,0
79,2800,6847.86,1,100,-69.27,-3.3,31.83,0
80,2800,6874.39,1,106,-66.33,3.81,31.83,1
81,2800,6900.91,1,106,-57.52,22.36,31.83,0
82,2800,6927.44,1,106,-68.88,-5.55,31.83,0
83,2800,6953.97,1,106,-57.93,14.94,31.83,0
84,2800,6980.5,1,106,-43.57,26.86,31.83,0
85,2800,7000,3,106,-67.85,1.61,0,0
86,2800,7000,3,106,-67.85,1.61,0,0
87,2800,7000,3,106,-67.85,1.61,0,0
88,2800,7000,3,106,-67.85,1.61,0,0
89,2800,7000,3,106,-67.85,1.61,0,0
90,2800,7000,3,106,-67.85,1.61,0,0
91,2800,7000,3,106,-67.85,1.61,0,0
92,2800,7000,3,106,-67.85,1.61,0,0
93,2800,7000,3,106,-67.85,1.61,0,0
94,2800,7000,3,106,-67.85,1.61,0,0
95,2800,6986.74,3,106,-68.06,-3.53,15.92,0
96,2800,6960.21,3,106,-89.3,-28.77,31.83,0
97,2800,6933.68,3,106,-86.24,-32.98,31.83,0
98,2800,6907.15,3,106,-82.54,-19.93,31.83,0
99,2800,6880.62,3,106,-87.67,-28.92,31.83,0
100,2800,6854.1,3,106,-82.64,-15.78,31.83,0
