Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_rsrp,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
0,1655.00,5218.16,23.00,1,12,0.83,LOS,91.46,-1.68,-69.56,-41.78,0.54,45.56,0,4,-76.92,3,-77.80,21,-77.86,13,-79.61,11,-109.80
1,1655.00,5230.81,23.00,1,12,0.83,LOS,91.62,-1.68,-69.72,-41.94,0.36,45.56,0,4,-76.80,21,-77.84,3,-77.93,13,-79.46,11,-109.97
2,1655.00,5243.47,23.00,1,4,0.81,LOS,92.33,-6.80,-65.32,-37.53,1.35,45.56,1,12,-68.76,13,-75.57,3,-77.58,21,-81.30,5,-112.94
3,1655.00,5256.12,23.00,1,4,0.81,LOS,92.22,-6.80,-65.20,-37.42,1.55,45.56,0,12,-68.93,13,-75.42,3,-77.71,21,-81.28,5,-112.78
4,1655.00,5268.78,23.00,1,12,0.82,LOS,92.12,-2.13,-69.77,-41.99,-1.80,45.56,1,13,-70.66,4,-74.71,21,-79.84,3,-80.23,11,-107.91
5,1655.00,5281.43,23.00,1,12,0.81,LOS,92.29,-2.13,-69.95,-42.16,-2.07,45.56,0,13,-70.51,4,-74.61,21,-79.82,3,-80.35,11,-108.07
6,1655.00,5294.09,23.00,1,12,0.81,LOS,92.46,3.37,-75.61,-47.83,-6.58,45.56,0,4,-72.76,3,-74.87,13,-78.32,21,-87.57,5,-115.97
7,1655.00,5306.74,23.00,1,4,0.82,LOS,91.83,1.06,-72.67,-44.89,-2.59,45.56,1,3,-74.99,12,-75.78,13,-78.16,21,-87.55,5,-115.80
8,1655.00,5319.40,23.00,1,4,0.82,LOS,91.75,-5.99,-65.54,-37.76,0.27,45.56,0,12,-67.17,13,-76.62,21,-77.56,3,-80.48,5,-111.60
9,1655.00,5332.05,23.00,1,4,0.82,LOS,91.67,-5.99,-65.47,-37.69,0.46,45.56,0,12,-67.35,13,-76.46,21,-77.54,3,-80.60,5,-111.43
10,1655.00,5344.71,23.00,1,4,0.83,LOS,91.61,0.76,-72.15,-44.36,-3.80,45.56,0,12,-72.98,3,-75.94,13,-76.29,21,-76.52,5,-105.78
11,1655.00,5357.36,23.00,1,4,0.83,LOS,91.55,0.76,-72.09,-44.31,-3.69,45.56,0,12,-73.16,3,-76.06,13,-76.13,21,-76.51,5,-105.60
12,1655.00,5370.02,23.00,1,4,0.83,LOS,91.50,1.51,-72.80,-45.01,-5.27,45.56,0,3,-72.21,12,-73.17,13,-74.84,21,-80.07,11,-109.06
13,1655.00,5382.67,23.00,1,4,0.83,LOS,91.46,1.51,-72.75,-44.97,-5.18,45.56,0,3,-72.33,12,-73.35,13,-74.67,21,-80.07,11,-109.21
14,1655.00,5395.33,23.00,1,12,0.78,LOS,93.86,-4.98,-68.66,-40.88,1.85,45.56,1,3,-76.83,21,-78.80,13,-78.81,4,-80.85,11,-105.22
15,1655.00,5407.98,23.00,1,12,0.78,LOS,94.03,-4.98,-68.83,-41.05,1.67,45.56,0,3,-76.95,13,-78.65,21,-78.80,4,-80.83,11,-105.36
16,1655.00,5420.64,23.00,1,4,0.83,LOS,91.39,-0.83,-70.34,-42.56,-0.16,45.56,1,13,-74.19,3,-76.67,21,-81.11,12,-83.68,5,-102.17
17,1655.00,5433.29,23.00,1,4,0.83,LOS,91.38,-0.83,-70.33,-42.55,-0.19,45.56,0,13,-74.02,3,-76.79,21,-81.11,12,-83.85,5,-101.98
18,1655.00,5445.95,23.00,1,4,0.83,LOS,91.39,-3.01,-68.16,-40.38,1.47,45.56,0,12,-75.11,13,-77.48,21,-77.95,3,-85.42,14,-104.95
19,1655.00,5458.60,23.00,1,4,0.83,LOS,91.40,-3.01,-68.18,-40.40,1.47,45.56,0,12,-75.28,13,-77.31,21,-77.95,3,-85.53,14,-104.81
20,1655.00,5471.26,23.00,1,13,0.78,LOS,93.85,-6.95,-66.68,-38.90,3.26,45.56,1,12,-73.68,3,-78.32,21,-79.37,4,-83.17,5,-98.09
21,1655.00,5483.91,23.00,1,13,0.79,LOS,93.68,-6.95,-66.51,-38.73,3.52,45.56,0,12,-73.85,3,-78.43,21,-79.38,4,-83.20,5,-97.90
22,1655.00,5496.57,23.00,1,13,0.79,LOS,93.50,0.30,-73.59,-45.80,-5.81,45.56,0,4,-70.96,21,-76.08,12,-76.35,3,-89.43,5,-105.78
23,1655.00,5509.22,23.00,1,13,0.79,LOS,93.33,0.30,-73.41,-45.63,-5.58,45.56,0,4,-71.01,21,-76.09,12,-76.51,3,-89.54,5,-105.58
24,1655.00,5521.88,23.00,1,13,0.80,LOS,93.15,0.43,-73.36,-45.58,-5.92,45.56,0,4,-71.60,21,-74.60,12,-74.93,3,-82.22,5,-101.38
25,1655.00,5534.53,23.00,1,13,0.80,LOS,92.98,0.43,-73.19,-45.40,-5.69,45.56,0,4,-71.67,21,-74.61,12,-75.09,3,-82.33,5,-101.17
26,1655.00,5547.19,23.00,1,13,0.80,LOS,92.80,-1.71,-70.87,-43.09,-4.65,45.56,0,12,-68.67,4,-72.08,3,-81.88,21,-85.92,14,-106.31
27,1655.00,5559.84,23.00,1,13,0.81,LOS,92.63,-1.71,-70.70,-42.92,-4.36,45.56,0,12,-68.83,4,-72.16,3,-81.98,21,-85.93,14,-106.15
28,1655.00,5572.50,23.00,1,13,0.81,LOS,92.45,-2.25,-69.99,-42.21,-5.00,45.56,0,4,-68.53,21,-71.51,12,-73.80,3,-79.79,5,-108.41
29,1655.00,5585.15,23.00,1,13,0.81,LOS,92.28,-2.25,-69.82,-42.04,-4.76,45.56,0,4,-68.63,21,-71.53,12,-73.95,3,-79.90,5,-108.20
30,1655.00,5597.81,23.00,1,13,0.82,LOS,92.11,2.79,-74.68,-46.90,-4.10,45.56,0,12,-76.69,4,-78.00,3,-80.35,21,-81.18,5,-103.51
31,1655.00,5600.54,23.00,3,13,0.82,LOS,92.07,2.79,-74.65,-46.87,-4.06,45.56,0,12,-76.72,4,-78.02,3,-80.38,21,-81.19,5,-103.46
32,1655.00,5587.88,23.00,3,13,0.81,LOS,92.24,2.79,-74.82,-47.04,-4.28,45.56,0,12,-76.57,4,-77.92,3,-80.27,21,-81.17,5,-103.68
33,1655.00,5575.23,23.00,3,4,0.82,LOS,91.94,2.92,-74.64,-46.86,-1.94,45.56,1,13,-78.55,21,-79.82,3,-80.72,12,-82.02,5,-106.42
34,1655.00,5562.57,23.00,3,4,0.82,LOS,91.85,2.92,-74.55,-46.77,-1.85,45.56,0,13,-78.72,21,-79.81,3,-80.61,12,-81.86,5,-106.63
35,1655.00,5549.92,23.00,3,12,0.74,LOS,95.89,-8.26,-67.42,-39.64,-0.67,45.56,1,13,-69.78,21,-73.19,3,-78.32,4,-81.39,5,-110.35
36,1655.00,5537.26,23.00,3,12,0.74,LOS,95.73,-8.26,-67.26,-39.48,-0.44,45.56,0,13,-69.95,21,-73.18,3,-78.21,4,-81.32,5,-110.56
37,1655.00,5524.61,23.00,3,4,0.83,LOS,91.62,-5.63,-65.77,-37.99,4.42,45.56,1,12,-75.95,21,-78.04,13,-79.90,3,-84.35,5,-107.34
38,1655.00,5511.95,23.00,3,4,0.83,LOS,91.56,-5.63,-65.71,-37.93,4.45,45.56,0,12,-75.79,21,-78.03,13,-80.08,3,-84.24,5,-107.55
39,1655.00,5499.30,23.00,3,4,0.83,LOS,91.51,-6.59,-64.70,-36.92,-0.24,45.56,0,13,-65.37,12,-78.27,21,-79.00,3,-80.98,5,-106.54
40,1655.00,5486.64,23.00,3,4,0.83,LOS,91.47,-6.59,-64.66,-36.87,-0.06,45.56,0,13,-65.55,12,-78.11,21,-78.99,3,-80.87,5,-106.73
41,1655.00,5473.99,23.00,3,4,0.83,LOS,91.43,-3.77,-67.45,-39.67,2.47,45.56,0,12,-73.02,13,-77.60,3,-78.95,21,-85.90,14,-116.31
42,1655.00,5461.33,23.00,3,4,0.83,LOS,91.41,-3.77,-67.42,-39.64,2.42,45.56,0,12,-72.86,13,-77.77,3,-78.84,21,-85.90,14,-116.46
43,1655.00,5448.68,23.00,3,4,0.83,LOS,91.39,0.14,-71.32,-43.53,-4.28,45.56,0,12,-69.63,13,-77.50,21,-78.39,3,-80.52,5,-114.77
44,1655.00,5436.02,23.00,3,4,0.83,LOS,91.38,0.14,-71.31,-43.53,-4.35,45.56,0,12,-69.46,13,-77.67,21,-78.39,3,-80.40,5,-114.96
45,1655.00,5423.37,23.00,3,4,0.83,LOS,91.39,-8.92,-62.25,-34.46,5.70,45.56,0,12,-73.28,3,-76.00,13,-76.35,21,-82.81,5,-105.90
46,1655.00,5410.71,23.00,3,4,0.83,LOS,91.40,-8.92,-62.26,-34.48,5.64,45.56,0,12,-73.11,3,-75.89,13,-76.52,21,-82.81,5,-106.08
47,1655.00,5398.06,23.00,3,4,0.83,LOS,91.42,-2.63,-68.57,-40.79,0.21,45.56,0,12,-73.12,13,-75.40,3,-76.83,21,-78.93,5,-113.80
48,1655.00,5385.40,23.00,3,4,0.83,LOS,91.45,-2.63,-68.60,-40.82,0.13,45.56,0,12,-72.94,13,-75.56,3,-76.71,21,-78.94,5,-113.99
49,1655.00,5372.75,23.00,3,4,0.83,LOS,91.49,1.40,-72.67,-44.89,-4.14,45.56,0,12,-71.86,3,-76.66,21,-77.87,13,-80.16,11,-113.95
50,1655.00,5360.09,23.00,3,4,0.83,LOS,91.54,1.40,-72.72,-44.94,-4.28,45.56,0,12,-71.69,3,-76.54,21,-77.87,13,-80.32,11,-113.80
51,1655.00,5347.44,23.00,3,4,0.83,LOS,91.59,-1.95,-69.42,-41.64,0.53,45.56,0,12,-74.52,13,-77.86,3,-80.89,21,-81.99,5,-111.79
52,1655.00,5334.78,23.00,3,4,0.82,LOS,91.66,-1.95,-69.49,-41.70,0.42,45.56,0,12,-74.34,13,-78.02,3,-80.76,21,-82.00,5,-111.97
53,1655.00,5322.13,23.00,3,4,0.82,LOS,91.73,-7.40,-64.11,-36.33,4.26,45.56,0,13,-73.56,3,-73.80,12,-76.53,21,-80.95,5,-104.67
54,1655.00,5309.47,23.00,3,4,0.82,LOS,91.81,-7.40,-64.19,-36.41,4.16,45.56,0,3,-73.68,13,-73.71,12,-76.36,21,-80.96,5,-104.85
55,1655.00,5296.82,23.00,3,13,0.73,LOS,96.13,-4.00,-71.91,-44.13,-2.60,45.56,1,12,-74.88,3,-76.52,4,-78.41,21,-84.52,5,-112.59
56,1655.00,5284.16,23.00,3,13,0.73,LOS,96.29,-4.00,-72.06,-44.28,-2.82,45.56,0,12,-74.70,3,-76.40,4,-78.51,21,-84.53,5,-112.77
57,1655.00,5271.51,23.00,3,13,0.72,LOS,96.44,-6.70,-69.52,-41.74,0.29,45.56,0,4,-72.80,12,-78.36,3,-80.36,21,-83.14,11,-104.40
58,1655.00,5258.85,23.00,3,13,0.72,LOS,96.59,-6.70,-69.67,-41.89,0.15,45.56,0,4,-72.90,12,-78.19,3,-80.23,21,-83.16,11,-104.24
59,1655.00,5246.20,23.00,3,12,0.82,LOS,91.82,-4.63,-66.97,-39.19,2.08,45.56,1,4,-71.22,13,-79.89,21,-83.12,3,-84.34,11,-105.40
60,1655.00,5233.54,23.00,3,12,0.82,LOS,91.65,-4.63,-66.81,-39.02,2.32,45.56,0,4,-71.34,13,-80.04,21,-83.14,3,-84.21,11,-105.24
61,1655.00,5220.89,23.00,3,12,0.83,LOS,91.49,-4.33,-66.94,-39.16,1.65,45.56,0,4,-73.54,21,-74.58,3,-77.58,13,-80.64,11,-117.39
62,1655.00,5208.23,23.00,3,12,0.83,LOS,91.34,-4.33,-66.79,-39.01,1.84,45.56,0,4,-73.67,21,-74.60,3,-77.45,13,-80.78,11,-117.22
63,1655.00,5195.58,23.00,3,12,0.83,LOS,91.18,3.29,-74.26,-46.48,-5.09,45.56,0,4,-73.12,3,-74.97,13,-79.82,21,-83.41,5,-108.53
64,1655.00,5182.92,23.00,3,12,0.83,LOS,91.04,3.29,-74.11,-46.33,-4.92,45.56,0,4,-73.25,3,-74.84,13,-79.96,21,-83.43,5,-108.69
65,1655.00,5170.27,23.00,3,4,0.80,LOS,93.06,-2.51,-70.33,-42.55,-0.54,45.56,1,3,-74.37,12,-78.27,13,-79.94,21,-83.52,11,-104.97
66,1655.00,5157.61,23.00,3,4,0.80,LOS,93.20,-2.51,-70.47,-42.69,-0.73,45.56,0,3,-74.24,12,-78.14,13,-80.08,21,-83.54,11,-104.79
67,1655.00,5144.96,23.00,3,12,0.84,LOS,90.63,1.09,-71.50,-43.72,-2.23,45.56,1,3,-74.24,4,-74.81,13,-77.25,21,-82.03,11,-107.12
68,1655.00,5132.30,23.00,3,12,0.84,LOS,90.51,1.09,-71.38,-43.60,-2.10,45.56,0,3,-74.10,4,-74.95,13,-77.38,21,-82.06,20,-82.85
69,1655.00,5119.65,23.00,3,12,0.85,LOS,90.40,-2.59,-67.58,-39.80,-2.25,45.56,0,4,-67.39,21,-73.69,13,-75.31,3,-78.77,20,-80.72
70,1655.00,5106.99,23.00,3,12,0.85,LOS,90.29,-2.59,-67.48,-39.70,-2.05,45.56,0,4,-67.54,21,-73.72,13,-75.44,3,-78.63,20,-80.68
71,1655.00,5094.34,23.00,3,12,0.85,LOS,90.20,-1.67,-68.31,-40.52,0.10,45.56,0,4,-70.35,13,-78.29,21,-79.71,3,-81.45,20,-85.26
72,1655.00,5081.68,23.00,3,12,0.85,LOS,90.11,-1.67,-68.22,-40.44,0.29,45.56,0,4,-70.49,13,-78.42,21,-79.74,3,-81.31,20,-85.21
73,1655.00,5069.03,23.00,3,12,0.85,LOS,90.04,1.43,-71.25,-43.47,-2.50,45.56,0,3,-74.99,4,-75.08,20,-77.94,21,-77.99,13,-78.02
74,1655.00,5056.37,23.00,3,12,0.85,LOS,89.98,1.43,-71.19,-43.41,-2.43,45.56,0,3,-74.84,4,-75.22,20,-77.90,21,-78.02,13,-78.15
75,1655.00,5043.72,23.00,3,12,0.85,LOS,89.93,-1.99,-67.72,-39.94,0.32,45.56,0,3,-72.08,4,-74.49,13,-75.88,21,-79.97,20,-83.61
76,1655.00,5031.06,23.00,3,12,0.85,LOS,89.89,-1.99,-67.68,-39.90,0.35,45.56,0,3,-71.93,4,-74.63,13,-76.00,21,-80.00,20,-83.57
77,1655.00,5018.41,23.00,3,12,0.85,LOS,89.87,6.39,-76.04,-48.26,-5.84,45.56,0,3,-75.14,20,-77.66,4,-79.88,21,-80.19,13,-86.14
78,1655.00,5005.75,23.00,3,12,0.85,LOS,89.85,6.39,-76.03,-48.25,-5.85,45.56,0,3,-74.99,20,-77.62,4,-80.03,21,-80.22,13,-86.26
79,1642.60,5005.50,23.00,2,4,0.76,LOS,94.82,-4.47,-70.13,-42.35,-2.50,45.56,1,3,-71.85,13,-74.45,12,-75.21,20,-77.75,21,-81.00
80,1629.94,5005.50,23.00,2,4,0.76,LOS,94.68,-4.47,-69.99,-42.21,-2.33,45.56,0,3,-71.71,13,-74.50,12,-75.54,20,-77.85,21,-81.10
81,1617.29,5005.50,23.00,2,4,0.77,LOS,94.54,-1.09,-73.24,-45.46,-5.67,45.56,0,12,-70.81,3,-76.21,13,-76.91,21,-77.07,20,-83.92
82,1604.63,5005.50,23.00,2,4,0.77,LOS,94.40,-1.09,-73.10,-45.32,-5.38,45.56,0,12,-71.12,3,-76.07,13,-76.96,21,-77.16,20,-84.01
83,1591.98,5005.50,23.00,2,4,0.77,LOS,94.26,-5.85,-68.19,-40.41,0.31,45.56,0,12,-71.88,13,-77.84,3,-78.10,20,-78.48,21,-82.01
84,1579.32,5005.50,23.00,2,4,0.78,LOS,94.13,-5.85,-68.06,-40.28,0.59,45.56,0,12,-72.17,13,-77.90,3,-77.96,20,-78.57,21,-82.10
85,1566.67,5005.50,23.00,2,4,0.78,LOS,93.99,-0.51,-73.26,-45.48,-4.90,45.56,0,12,-71.47,3,-74.06,13,-79.11,21,-84.65,20,-85.77
86,1554.01,5005.50,23.00,2,4,0.78,LOS,93.86,-0.51,-73.13,-45.35,-4.66,45.56,0,12,-71.75,3,-73.93,13,-79.17,21,-84.74,20,-85.86
87,1541.36,5005.50,23.00,2,12,0.81,LOS,92.57,-3.15,-69.21,-41.43,-1.63,45.56,1,3,-69.63,4,-77.59,13,-79.14,20,-83.48,21,-86.44
88,1528.70,5005.50,23.00,2,12,0.80,LOS,92.83,-3.15,-69.47,-41.69,-1.97,45.56,0,3,-69.50,4,-77.46,13,-79.20,20,-83.56,21,-86.53
89,1516.05,5005.50,23.00,2,3,0.79,LOS,93.64,-2.31,-71.12,-43.33,-1.60,45.56,1,21,-74.93,13,-75.13,12,-77.55,4,-80.53,20,-81.95
90,1503.39,5005.50,23.00,2,3,0.79,LOS,93.52,-2.31,-70.99,-43.21,-1.40,45.56,0,21,-75.01,13,-75.19,12,-77.80,4,-80.41,11,-102.27
91,1490.74,5005.50,23.00,2,3,0.79,LOS,93.40,-4.69,-68.50,-40.71,-0.05,45.56,0,4,-71.25,12,-76.66,13,-80.74,2,-112.11,11,-117.93
92,1478.08,5005.50,23.00,2,3,0.79,LOS,93.29,-4.69,-68.38,-40.60,0.05,45.56,0,4,-71.14,12,-76.90,13,-80.80,2,-112.09,11,-118.03
93,1465.43,5005.50,23.00,2,4,0.80,LOS,92.98,-8.66,-64.11,-36.33,2.29,45.56,1,12,-69.34,3,-72.18,13,-76.53,11,-106.50,5,-108.44
94,1455.00,5005.50,23.00,1,4,0.80,LOS,92.89,-8.66,-64.01,-36.23,2.46,0.00,0,12,-69.52,3,-72.10,13,-76.58,11,-106.58,5,-108.42
95,1455.00,5005.50,23.00,1,4,0.80,LOS,92.89,-8.66,-64.01,-36.23,2.46,0.00,0,12,-69.52,3,-72.10,13,-76.58,11,-106.58,5,-108.42
