Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
69,6800.00,3877.94,50.00,1,62,0.89,LOS,-53.33,-0.49,25.49,1,63,-56.49,55,-57.01,54,-75.90,47,-76.83,61,-100.20
70,6800.00,3899.18,50.00,1,63,0.82,LOS,-61.93,0.56,25.49,1,55,-65.75,62,-68.37,56,-76.02,54,-84.00,47,-88.44
71,6800.00,3920.42,50.00,1,63,0.82,LOS,-76.75,-14.68,25.49,0,62,-74.96,56,-77.76,47,-89.48,55,-89.97,54,-98.72
72,6800.00,3941.67,50.00,1,55,0.93,LOS,-75.43,-8.89,25.49,1,62,-77.17,63,-85.70,47,-85.85,56,-94.37,54,-114.49
73,6800.00,3962.91,50.00,1,62,0.88,LOS,-78.82,-15.89,25.49,1,56,-86.98,55,-89.41,63,-97.83,47,-108.83,54,-117.15
74,6800.00,3984.15,50.00,1,55,0.93,LOS,-81.52,-15.34,25.49,1,56,-82.50,62,-87.92,47,-90.20,54,-94.01,63,-94.59
75,6805.39,4000.00,50.00,0,55,0.93,LOS,-78.98,-13.33,25.49,0,63,-77.58,62,-80.33,47,-104.57,56,-108.15,54,-116.83
76,6826.63,4000.00,50.00,0,62,0.88,LOS,-64.65,-9.11,25.49,1,63,-76.32,47,-78.38,56,-91.57,55,-91.84,54,-93.91
77,6847.88,4000.00,50.00,0,62,0.89,LOS,-60.61,4.77,25.49,0,54,-75.39,55,-78.03,63,-81.13,47,-91.55,56,-96.05
78,6869.12,4000.00,50.00,0,62,0.89,LOS,-52.00,-1.35,25.49,0,55,-50.79,63,-74.95,54,-83.55,56,-87.18,70,-91.76
79,6890.36,4000.00,50.00,0,62,0.90,LOS,-45.85,15.69,25.49,0,55,-64.66,54,-69.60,70,-81.87,63,-81.90,56,-82.14
80,6911.60,4000.00,50.00,0,62,0.90,LOS,-54.93,2.34,25.49,0,70,-58.91,55,-63.16,54,-88.00,56,-92.37,63,-104.58
81,6932.84,4000.00,50.00,0,62,0.90,LOS,-58.75,3.01,25.49,0,55,-64.34,70,-67.66,54,-79.31,56,-101.45,63,-113.09
82,6954.08,4000.00,50.00,0,62,0.91,LOS,-61.39,4.23,25.49,0,55,-67.08,54,-81.66,70,-82.90,63,-106.70,56,-107.64
83,6975.33,4000.00,50.00,0,62,0.91,LOS,-69.64,-14.68,25.49,0,70,-73.05,55,-79.62,54,-83.21,56,-111.05,63,-114.95
84,6996.57,4000.00,50.00,0,62,0.92,LOS,-47.60,19.31,25.49,0,55,-71.70,54,-73.51,70,-79.36,56,-99.54,63,-99.90
85,7000.00,4000.00,50.00,1,62,0.92,LOS,-84.14,-13.98,0.00,0,54,-75.61,63,-77.80,55,-81.10,56,-87.01,70,-103.58
86,7000.00,4000.00,50.00,1,56,0.75,LOS,-77.07,-6.13,0.00,1,55,-79.76,63,-81.60,62,-84.14,54,-85.91,70,-100.44
87,7000.00,4000.00,50.00,1,56,0.75,LOS,-77.07,-6.13,0.00,0,55,-79.76,63,-81.60,62,-84.14,54,-85.91,70,-100.44
88,7000.00,4000.00,50.00,1,56,0.75,LOS,-77.07,-6.13,0.00,0,55,-79.76,63,-81.60,62,-84.14,54,-85.91,70,-100.44
89,7000.00,4000.00,50.00,1,56,0.75,LOS,-77.07,-6.13,0.00,0,55,-79.76,63,-81.60,62,-84.14,54,-85.91,70,-100.44
90,7000.00,4000.00,50.00,1,56,0.75,LOS,-77.07,-6.13,0.00,0,55,-79.76,63,-81.60,62,-84.14,54,-85.91,70,-100.44
91,7000.00,4000.00,50.00,1,56,0.75,LOS,-77.07,-6.13,0.00,0,55,-79.76,63,-81.60,62,-84.14,54,-85.91,70,-100.44
92,7000.00,4000.00,50.00,1,56,0.75,LOS,-77.07,-6.13,0.00,0,55,-79.76,63,-81.60,62,-84.14,54,-85.91,70,-100.44
93,7000.00,4000.00,50.00,1,56,0.75,LOS,-77.07,-6.13,0.00,0,55,-79.76,63,-81.60,62,-84.14,54,-85.91,70,-100.44
94,7000.00,4000.00,50.00,1,56,0.75,LOS,-77.07,-6.13,0.00,0,55,-79.76,63,-81.60,62,-84.14,54,-85.91,70,-100.44
95,7000.00,4010.62,50.00,1,55,0.89,LOS,-69.49,-0.65,12.75,1,56,-80.28,63,-82.77,62,-84.16,54,-94.55,70,-95.36
96,7000.00,4031.86,50.00,1,63,0.87,LOS,-71.02,-8.10,25.49,1,70,-81.07,56,-81.92,55,-84.72,54,-90.59,62,-93.46
97,7000.00,4053.10,50.00,1,55,0.89,LOS,-73.26,-10.15,25.49,1,63,-76.87,56,-81.69,70,-83.38,54,-84.96,62,-96.38
98,7000.00,4074.35,50.00,1,55,0.89,LOS,-52.59,8.80,25.49,0,62,-75.41,56,-78.50,63,-80.36,54,-86.51,70,-88.99
99,7000.00,4095.59,50.00,1,55,0.89,LOS,-76.74,-16.72,25.49,0,62,-81.33,63,-83.86,56,-86.84,54,-90.19,70,-105.72
100,7000.00,4116.83,50.00,1,55,0.89,LOS,-61.90,3.11,25.49,0,62,-72.35,63,-83.98,56,-85.12,54,-90.06,70,-103.89
