Step,connected_gnb,gnb0_rsrp,gnb1_rsrp,gnb2_rsrp,gnb3_rsrp,gnb4_rsrp,gnb5_rsrp,gnb6_rsrp,gnb7_rsrp
288,000004,-110.30,-107.24,-110.91,-95.79,-59.45,-108.44,-115.81,-41.05
289,000004,-98.80,-82.01,-100.96,-95.88,-66.85,-106.93,-95.67,-58.34
290,000004,-109.48,-90.49,-104.86,-100.75,-60.72,-101.07,-91.30,-68.09
291,000004,-118.99,-97.04,-112.09,-101.02,-77.61,-103.61,-97.33,-49.55
292,000004,-115.68,-99.89,-101.26,-91.80,-74.91,-113.58,-111.64,-47.80
293,000004,-99.64,-88.07,-114.68,-81.38,-65.67,-97.52,-110.08,-57.42
294,000004,-94.08,-81.00,-102.31,-88.45,-69.80,-95.53,-99.39,-51.55
295,000004,-94.08,-81.00,-102.31,-88.45,-69.80,-95.53,-99.39,-51.55
296,000004,-94.08,-81.00,-102.31,-88.45,-69.80,-95.53,-99.39,-51.55
297,000004,-94.08,-81.00,-102.31,-88.45,-69.80,-95.53,-99.39,-51.55
298,000004,-94.08,-81.00,-102.31,-88.45,-69.80,-95.53,-99.39,-51.55
