Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_rsrp_bs0,ue0_sinr_bs0,ue0_rsrp_bs1,ue0_sinr_bs1,ue0_rsrp_bs2,ue0_sinr_bs2,ue0_rsrp_bs3,ue0_sinr_bs3,ue0_rsrp_bs4,ue0_sinr_bs4,ue0_rsrp_bs5,ue0_sinr_bs5,ue0_rsrp_bs6,ue0_sinr_bs6
72,5318.25,5366.50,0,6,-80.09,7.75,90.00,0,-109.05,-29.63,-100.14,-20.69,-98.10,-18.63,-92.54,-12.91,-92.05,-12.39,-99.97,-20.52,-80.09,7.75
73,5318.50,5366.50,0,6,-78.58,7.16,90.00,0,-107.97,-30.16,-100.15,-22.31,-97.30,-19.44,-91.08,-13.06,-88.44,-10.24,-102.30,-24.47,-78.58,7.16
74,5318.75,5366.50,0,6,-77.75,8.84,90.00,0,-108.57,-31.35,-98.23,-20.97,-96.58,-19.31,-91.13,-13.73,-90.65,-13.23,-101.26,-24.03,-77.75,8.84
75,5319.00,5366.50,0,6,-78.23,8.13,90.00,0,-107.74,-30.13,-97.53,-19.88,-97.02,-19.36,-92.28,-14.53,-89.46,-11.56,-100.07,-22.44,-78.23,8.13
76,5319.25,5366.50,0,6,-75.07,11.88,90.00,0,-105.81,-31.01,-96.11,-21.28,-97.09,-22.26,-92.47,-17.60,-90.92,-16.02,-101.27,-26.46,-75.07,11.88
77,5319.50,5366.50,0,6,-75.67,9.19,90.00,0,-105.38,-30.20,-93.34,-18.09,-94.88,-19.66,-87.90,-12.48,-91.73,-16.46,-102.80,-27.62,-75.67,9.19
78,5319.75,5366.50,0,6,-75.74,8.10,90.00,0,-105.74,-30.61,-90.93,-15.69,-93.61,-18.43,-87.76,-12.39,-90.03,-14.77,-100.50,-25.36,-75.74,8.10
79,5320.00,5366.50,0,6,-76.23,7.25,90.00,0,-104.87,-29.38,-91.80,-16.22,-92.27,-16.70,-87.68,-11.93,-88.83,-13.15,-100.52,-25.02,-76.23,7.25
80,5320.25,5366.50,0,6,-72.95,11.26,90.00,0,-106.25,-33.62,-93.64,-20.97,-91.64,-18.95,-89.31,-16.58,-89.08,-16.34,-98.30,-25.66,-72.95,11.26
81,5320.50,5366.50,0,6,-73.67,9.43,90.00,0,-104.93,-31.73,-95.22,-21.99,-91.64,-18.38,-89.14,-15.83,-86.17,-12.75,-98.33,-25.12,-73.67,9.43
82,5320.75,5366.50,0,6,-75.29,8.45,90.00,0,-104.42,-29.70,-96.67,-21.93,-90.31,-15.47,-88.98,-14.10,-88.20,-13.28,-97.88,-23.14,-75.29,8.45
83,5321.00,5366.50,0,6,-74.75,9.41,90.00,0,-105.10,-30.82,-95.22,-20.91,-91.10,-16.73,-87.58,-13.10,-91.11,-16.74,-99.53,-25.24,-74.75,9.41
